Date,Price,MarketCap,TotalVolume,Currency
12/08/2023,1848.505239,2.24286E+11,2215986526,Ethereum
13/08/2023,1839.51281,2.24591E+11,3642424563,Ethereum
14/08/2023,1843.513391,2.2606E+11,4495324729,Ethereum
15/08/2023,1840.692938,2.25598E+11,4491626036,Ethereum
01/08/2023,247.4287365,38851807757,854382518,BNB
02/08/2023,240.3790076,37785415637,750233247,BNB
03/08/2023,241.1437875,37522391613,390117777,BNB
04/08/2023,241.4922076,37473930925,359584156,BNB
05/08/2023,242.88197,37619391459,251536722,BNB
06/08/2023,242.5749981,37696960234,372359290,BNB
07/08/2023,241.7384247,37587027522,410120374,BNB
08/08/2023,245.1794275,38183879067,470639117,BNB
09/08/2023,244.0103148,37943310488,401504275,BNB
10/08/2023,241.2319119,37451242427,339047442,BNB
11/08/2023,239.5958218,37228575417,363763402,BNB
12/08/2023,240.0884451,37138758311,195205362,BNB
13/08/2023,240.0307925,37144584727,230763796,BNB
14/08/2023,240.3580561,37293444814,323212804,BNB
15/08/2023,239.1442728,37158311244,357749918,BNB
01/08/2023,0.70721551,38698970799,1521287462,XRP
02/08/2023,0.684739725,37174149555,1053596026,XRP
03/08/2023,0.664210425,36360893685,1277296653,XRP
04/08/2023,0.635810052,34748506123,1200556083,XRP
05/08/2023,0.628430234,34129066650,1002199104,XRP
06/08/2023,0.622153234,33539472433,771069752,XRP
07/08/2023,0.620837959,34037399698,1327007615,XRP
08/08/2023,0.6426242,35271053366,1375092164,XRP
09/08/2023,0.643605206,35475818276,1498394768,XRP
10/08/2023,0.633213842,34490122483,1063357974,XRP
11/08/2023,0.63161758,34265621500,924970915,XRP
12/08/2023,0.627080727,33596394244,502921367,XRP
13/08/2023,0.625689201,33641872685,620939906,XRP
14/08/2023,0.634680901,34494083267,967305278,XRP
15/08/2023,0.62584861,33829863096,837554599,XRP
01/08/2023,0.077873418,11376952661,451388149,Dogecoin
02/08/2023,0.07416661,10857479916,437878805,Dogecoin
03/08/2023,0.073642051,10799301655,434504375,Dogecoin
04/08/2023,0.073471152,10677090528,362395292,Dogecoin
05/08/2023,0.07560301,11154549546,539033839,Dogecoin
06/08/2023,0.0741487,10786932966,369057587,Dogecoin
07/08/2023,0.073374459,10707000236,398305731,Dogecoin
08/08/2023,0.075010141,10914992070,374950347,Dogecoin
09/08/2023,0.075384918,10966522541,369748154,Dogecoin
10/08/2023,0.075759147,11041311545,399366004,Dogecoin
11/08/2023,0.075713727,10900036239,263740989,Dogecoin
12/08/2023,0.076696354,11159970427,385515900,Dogecoin
13/08/2023,0.07477775,10829485032,325530830,Dogecoin
14/08/2023,0.074764347,10949074658,433958600,Dogecoin
15/08/2023,0.073989601,10818248645,419529391,Dogecoin
